Make,Model,Injury.Severity,Aircraft.damage,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Purpose.of.flight,Weather.Condition,Broad.phase.of.flight
Tupolev,TU-154,Fatal(349),Unknown,349.0,,,,Unknown,Unknown,Unknown
Boeing,747-168,Fatal(349),Unknown,349.0,,,,Unknown,Unknown,Unknown
BOEING,777 - 206,Fatal,Destroyed,295.0,0.0,0.0,0.0,Unknown,Unknown,Unknown
Boeing,747-121,Fatal(270),Destroyed,270.0,2.0,3.0,0.0,Unknown,UNK,Unknown
Airbus Industrie,A300B4-605R,Fatal(265),Destroyed,265.0,,,,Unknown,VMC,Takeoff
Douglas,DC-8-63,Fatal(256),Destroyed,256.0,0.0,0.0,0.0,Unknown,IMC,Unknown
BOEING,777 - 206,Fatal,Destroyed,239.0,0.0,0.0,0.0,Unknown,Unknown,Unknown
Boeing,747-131,Fatal(230),Destroyed,230.0,0.0,0.0,0.0,Unknown,VMC,Climb
Douglas,MD-11,Fatal(229),Destroyed,229.0,0.0,0.0,,Unknown,UNK,Unknown
AIRBUS,A330,Fatal,Destroyed,228.0,0.0,0.0,0.0,Unknown,Unknown,Unknown
Boeing,747-300,Fatal(228),Destroyed,228.0,26.0,,,Unknown,IMC,Approach
AIRBUS,A321,Fatal,Destroyed,224.0,0.0,0.0,0.0,Unknown,Unknown,Unknown
Boeing,767-366-ER,Fatal(217),Destroyed,217.0,,,,Unknown,VMC,Unknown
Boeing,747-200,Fatal(206),Destroyed,206.0,,,,Unknown,Unknown,Unknown
Airbus Industrie,A320-233,Fatal(199),Destroyed,199.0,,,,Unknown,IMC,Unknown
Boeing,757-200,Fatal(189),Destroyed,189.0,0.0,0.0,0.0,Unknown,VMC,Unknown
BOEING,737,Fatal,Destroyed,188.0,0.0,0.0,0.0,Unknown,Unknown,Unknown
BOEING,737,Fatal,Destroyed,176.0,0.0,0.0,0.0,Unknown,Unknown,Unknown
Mcdonnell Douglas,DC-8-62,Fatal(174),Destroyed,174.0,0.0,0.0,0.0,Unknown,IMC,Unknown
Airbus Industrie,A 310,Fatal(169),Destroyed,169.0,,10.0,,Unknown,UNK,Unknown
